nama_lokasi,jenis_lokasi,longitude,latitude
RSUD Sidoarjo,Rumah Sakit,112.7156,-7.46516
Kantor Kecamatan Buduran,Kantor Kecamatan,112.723861,-7.4203
Pusat Pelayanan Publik Sidoarjo,Pusat Pelayanan Publik,112.73816,-7.453694
RS Siti Khodijah,Rumah Sakit,112.698083,-7.34327
Kantor Pos Candi,Kantor Pos,112.711527,-7.4885
Kantor Kecamatan Prambon,Kantor Kecamatan,112.562027,-7.4716
Puskesmas Sedati,Pusat Pelayanan Publik,112.763583,-7.39361
Kantor Bupati Sidoarjo,Kantor Pemerintah,112.718138,-7.447361
Kantor Kecamatan Sukodono,Kantor Kecamatan,112.673972,-7.4126
Puskesmas Tulangan,Pusat Pelayanan Publik,112.6493,-7.46483
